FID,CoverType,band6,ln.band1,ln.band2,ln.band3,ln.band4,ln.band5,ln.band7
54,Forest,7.80156,4.0334365669,3.6997030204,3.4690502572,3.8390727339,2.0362884008,0.4780593301
55,Forest,8.3531364706,4.2179909846,4.0560438963,4.1479280752,4.1301771893,2.7981059589,1.3089685476
56,Forest,7.6912447059,3.9634852267,3.586507931,3.252965751,4.1160465764,1.8283371754,0.0249795154
57,Forest,7.3051411765,3.9920555773,3.6256806887,3.3302993351,3.9951804951,1.6834971439,-0.1870385467
58,Forest,7.6360870588,4.0468582535,3.6633766114,3.4361253345,4.0422335962,1.9202906364,0.1998147143
59,Forest,8.5737670588,4.0601021817,3.6997030204,3.5617811065,3.42672752,2.3085437753,1.2546100012
60,Forest,7.8567176471,3.9920555773,3.6633766114,3.4690502572,4.1578531414,1.902563963,0.3485834725
61,Forest,7.5809294118,4.0601021817,3.801377963,3.5617811065,3.9458036086,2.1950915852,0.7586043972
62,Forest,7.6912447059,4.0198322851,3.586507931,3.4020793456,3.8576711685,1.8845173751,0.3485834725
63,Forest,7.3051411765,4.0988129953,3.7686216642,3.5617811065,3.7610140519,2.0969925009,0.5926766502
64,Forest,7.5257717647,4.0988129953,3.801377963,3.5318162035,3.7811073484,2.0671010036,0.6281379604
65,Forest,7.4154564706,4.0060403713,3.6633766114,3.4020793456,3.8576711685,1.8474167569,0.3014109284
66,Forest,7.3602988235,3.9634852267,3.6256806887,3.4361253345,3.7811073484,1.8661391132,0.3014109284
67,Forest,7.4154564706,3.8882701864,3.5032347347,3.252965751,3.8008048443,1.6143669214,-0.0408219945
68,Forest,7.4706141176,3.9778724317,3.6256806887,3.4020793456,4.1441109071,1.8845173751,0.3014109284
69,Forest,8.5737670588,3.9488880049,3.6997030204,3.4361253345,3.7405087215,2.1950915852,0.7887247043
70,Forest,7.9118752941,3.8882701864,3.5457378857,3.3668332484,3.9458036086,1.8661391132,0.2519024906
71,Forest,8.4634517647,4.0860751707,3.7686216642,3.5908741752,4.0574385015,1.9882127276,0.5177428212
72,Forest,8.0773482353,3.8882701864,3.5032347347,3.252965751,3.607774663,1.5902191147,0.0249795154
73,Forest,8.2979788235,3.9634852267,3.6256806887,3.4020793456,3.911476974,1.902563963,0.3485834725
74,Forest,9.6217623529,4.2402122935,4.0047916338,3.9076983736,4.0111121323,2.4211312361,0.977441167
75,Forest,8.0773482353,4.0468582535,3.801377963,3.673395488,3.911476974,2.2471096912,0.7586043972
76,Forest,8.4082941176,3.9037725936,3.5032347347,3.2923799172,3.7405087215,2.0518133746,0.5177428212
77,Forest,8.2428211765,3.9488880049,3.6997030204,3.5617811065,3.9789909261,2.0821584358,0.3936306505
78,Forest,7.5809294118,3.8725236652,3.4123920037,3.1691466317,3.42672752,1.5902191147,0.0249795154
79,Forest,7.80156,3.8725236652,3.4588445649,3.0776537582,3.6311568673,1.7481558317,0.0867172161
80,Forest,8.2428211765,3.9920555773,3.7347559472,3.5318162035,4.0574385015,1.902563963,0.3014109284
81,Forest,8.1325058824,3.9634852267,3.6633766114,3.5009255951,3.8201218319,1.9377085404,0.3936306505
82,Forest,7.9670329412,3.9634852267,3.6256806887,3.4361253345,3.7405087215,2.1950915852,0.662384713
83,Forest,8.4634517647,3.8402666552,3.4588445649,3.21193414,3.5341570423,1.6609805875,0.0867172161
84,Forest,8.73924,4.0988129953,3.801377963,3.6466379477,3.7610140519,2.2597021527,0.7887247043
85,Forest,8.2428211765,3.8882701864,3.5032347347,3.252965751,3.6540048125,1.7055178494,0.0867172161
86,Forest,8.7943976471,4.0860751707,3.8936625377,3.7248539538,3.8008048443,2.2844211224,0.9270561061
87,Forest,8.73924,4.0060403713,3.801377963,3.5318162035,4.2490984214,2.332098206,0.7586043972
88,Forest,8.6289247059,3.9488880049,3.6997030204,3.3668332484,4.2490984214,2.0044961149,0.3014109284
89,Forest,8.5737670588,4.1360809621,3.801377963,3.673395488,4.2490984214,2.272138014,0.5559114564
90,Forest,9.1253435294,4.2511404798,4.0307460784,3.9684767266,3.8938614309,2.6487080899,1.3771348939
91,Forest,9.6217623529,4.3040587339,4.1512831988,4.079961224,4.223866703,2.7301109459,1.4253736616
92,Forest,8.2428211765,3.9920555773,3.6633766114,3.4690502572,4.0871718408,2.0821584358,0.4780593301
93,Forest,7.9670329412,4.0988129953,3.8330952315,3.6466379477,4.1979818292,2.3551105691,0.7586043972
94,Forest,7.4706141176,3.9778724317,3.6256806887,3.4020793456,3.9951804951,1.8661391132,0.1998147143
95,Forest,7.3602988235,3.8882701864,3.6256806887,3.4020793456,4.1301771893,2.0518133746,0.3936306505
96,Forest,7.6912447059,4.0988129953,3.7686216642,3.6191447109,3.9789909261,2.272138014,0.6281379604
97,Forest,8.4634517647,4.0601021817,3.801377963,3.6191447109,3.911476974,2.3664211616,0.9525659348
98,Forest,8.2428211765,4.0601021817,3.801377963,3.6466379477,3.8008048443,2.3085437753,0.9525659348
99,Forest,7.6912447059,4.0860751707,3.8330952315,3.7737935353,3.8576711685,2.4930207005,1.0485566182
100,Forest,7.6360870588,4.0601021817,3.801377963,3.673395488,3.8759300076,2.1680313292,0.662384713
101,Forest,8.73924,4.0468582535,3.8638373644,3.8204493655,3.8759300076,2.4730027453,1.136134728
102,Forest,7.7464023529,4.1113906062,3.801377963,3.5617811065,3.8008048443,2.1950915852,0.7887247043
103,Forest,7.1948258824,4.1238119839,3.7686216642,3.5617811065,3.8008048443,1.9548282475,0.5177428212
37,Grass,8.1325058824,4.2936967418,4.1737403035,4.1642217485,4.1979818292,2.5507770042,1.2911753395
38,Grass,8.2428211765,4.34446525,4.1737403035,4.1313645146,4.2737091371,2.8409961283,1.6240367119
39,Grass,8.0221905882,4.1360809621,3.9226238721,3.673395488,4.2977286853,2.377605254,0.8463730632
40,Grass,8.0773482353,4.1360809621,3.9507700016,3.7248539538,4.3884223151,2.5028813868,0.9525659348
155,Grass,8.3531364706,4.1238119839,3.801377963,3.4020793456,4.6617239726,2.0518133746,0.1998147143
156,Grass,8.2979788235,4.1720097853,3.9226238721,3.7496231,4.3211848018,2.3886656447,1.0485566182
157,Grass,8.2428211765,4.1113906062,3.6997030204,3.2923799172,3.4818842257,1.6834971439,-0.0408219945
158,Grass,8.6289247059,4.1837048124,3.9781455654,3.7248539538,4.5934785753,2.5413796436,0.8739970667
159,Grass,8.6840823529,4.2066923745,4.0047916338,3.7496231,4.4204183844,2.5964831005,1.0711806342
160,Grass,8.6289247059,4.1720097853,4.0047916338,3.6994556811,4.5756638294,2.3886656447,0.8179642429
161,Grass,8.5737670588,4.1601763644,4.0047916338,3.5908741752,4.8001195189,2.4628414648,0.662384713
162,Grass,8.2979788235,4.1720097853,3.9781455654,3.6994556811,4.4715702196,2.2965551849,0.7887247043
163,Grass,8.5186094118,4.1113906062,3.9507700016,3.5318162035,4.8893605814,2.5318931341,0.662384713
164,Grass,8.2428211765,4.0860751707,3.9507700016,3.5009255951,4.8353916882,2.377605254,0.5926766502
165,Grass,8.2979788235,4.1238119839,3.9507700016,3.5617811065,4.6861612221,2.4211312361,0.662384713
166,Grass,8.2979788235,4.0731729984,3.8638373644,3.5009255951,4.6109815028,2.2343566351,0.436735751
167,Grass,8.3531364706,4.1360809621,3.9507700016,3.5908741752,4.461547034,2.2965551849,0.6281379604
168,Grass,8.0773482353,4.1952646455,3.9781455654,3.7248539538,4.3211848018,2.3886656447,0.7887247043
169,Grass,8.2979788235,4.2402122935,4.0807174935,3.8650251165,4.5202323796,2.6053788768,0.977441167
170,Grass,8.2979788235,4.1238119839,3.9781455654,3.5908741752,4.636674553,2.4930207005,0.7586043972
171,Grass,8.3531364706,4.1837048124,4.0560438963,3.6466379477,4.7409610828,2.5318931341,0.8179642429
172,Grass,8.1876635294,4.1720097853,3.8936625377,3.7248539538,4.1441109071,2.2471096912,0.8739970667
173,Grass,8.2979788235,4.0601021817,3.801377963,3.5617811065,4.072415676,2.1260163686,0.436735751
174,Grass,8.5186094118,4.1720097853,4.0047916338,3.9486249079,4.1160465764,2.5693108729,1.0933041075
175,Grass,8.3531364706,4.1360809621,3.9226238721,3.7496231,4.1714090838,2.1680313292,0.662384713
176,Grass,8.4082941176,4.0860751707,3.9226238721,3.7248539538,4.1847837178,2.3085437753,0.8463730632
177,Grass,8.4082941176,4.148201235,3.9781455654,3.8650251165,4.2110080171,2.4830618119,1.0933041075
178,Grass,8.4082941176,4.1720097853,3.9226238721,3.7248539538,4.1578531414,2.3996050403,0.9525659348
179,Grass,8.4634517647,4.2066923745,4.0047916338,3.8865893536,4.1714090838,2.6401911404,1.3771348939
180,Grass,8.0773482353,4.1238119839,3.7686216642,3.5318162035,3.7811073484,2.0821584358,0.7275486073
181,Grass,8.2979788235,4.0601021817,3.7347559472,3.4690502572,4.1979818292,2.0044961149,0.2519024906
182,Grass,8.5186094118,4.2726449731,3.9781455654,3.7737935353,3.8576711685,2.3551105691,1.0711806342
183,Grass,8.4082941176,4.1952646455,3.9226238721,3.7496231,3.7811073484,2.2343566351,1.0254088846
184,Grass,8.3531364706,4.1720097853,3.9781455654,3.6466379477,4.619619409,2.1950915852,0.5559114564
185,Grass,8.5186094118,4.2291633611,4.0307460784,3.8204493655,4.1578531414,2.3551105691,1.0485566182
186,Grass,8.5186094118,4.1113906062,3.801377963,3.6191447109,4.3441033148,2.1680313292,0.7275486073
187,Grass,8.6840823529,4.4021694578,4.279031511,4.1802541887,4.4204183844,2.5875074787,1.360523962
188,Grass,8.6840823529,4.0860751707,3.8936625377,3.3668332484,4.8214317578,2.4525758719,0.6281379604
189,Grass,8.73924,4.2511404798,4.0307460784,3.9076983736,3.9625349358,2.5507770042,1.2166567281
190,Grass,8.5737670588,4.1601763644,3.8330952315,3.673395488,3.6981918413,2.4830618119,1.1568811968
191,Grass,9.0150282353,4.2726449731,4.0307460784,3.9684767266,3.9458036086,2.5693108729,1.3264506843
192,Grass,9.2356588235,4.2726449731,4.0047916338,4.0070358148,4.0574385015,2.8197809718,1.5979605339
193,Grass,9.1805011765,4.2511404798,4.0560438963,4.0070358148,4.0267939275,2.8479689939,1.6110836163
194,Grass,8.8495552941,4.1837048124,3.9507700016,3.7248539538,4.2365621401,2.20835198,0.8463730632
195,Grass,8.6289247059,4.2619505308,4.0807174935,3.8429855951,4.461547034,2.4930207005,1.001712611
196,Grass,8.6289247059,4.3244660639,4.1512831988,3.9879421096,4.4308602153,2.4422038026,0.9270561061
197,Grass,8.8495552941,4.2936967418,4.0560438963,3.8865893536,4.2110080171,2.3664211616,0.9008784529
198,Grass,8.8495552941,4.3737335181,4.1512831988,4.0070358148,4.1847837178,2.3203903405,0.977441167
199,Grass,9.1253435294,4.2936967418,4.0807174935,4.0622223596,3.9951804951,2.768455191,1.4713921436
200,Grass,9.1805011765,4.1952646455,3.8936625377,3.7496231,3.9458036086,2.5507770042,1.1772059832
201,Grass,9.1253435294,4.2936967418,4.1283101641,4.1145219751,4.0422335962,2.7759507115,1.4713921436
202,Grass,9.0701858824,4.2402122935,4.0307460784,3.9684767266,3.9458036086,2.7532934662,1.4562867329
104,Shrubs,8.6289247059,4.4298191024,4.2988219069,4.1960336405,4.0871718408,2.2471096912,1.0711806342
105,Shrubs,8.3531364706,4.0731729984,3.7686216642,3.5318162035,4.072415676,2.0362884008,0.3936306505
106,Shrubs,8.4634517647,4.1360809621,3.801377963,3.5617811065,3.8201218319,2.0518133746,0.6281379604
107,Shrubs,8.3531364706,4.1238119839,3.801377963,3.5318162035,3.6763423687,2.1680313292,0.7887247043
108,Shrubs,8.3531364706,4.0988129953,3.7347559472,3.5009255951,3.9951804951,2.0821584358,0.4780593301
109,Shrubs,8.5186094118,4.2832262535,4.1283101641,4.0441631366,3.9458036086,2.5964831005,1.3771348939
110,Shrubs,8.4634517647,4.1837048124,3.9781455654,3.8204493655,4.2614794883,2.5318931341,1.0933041075
111,Shrubs,8.4082941176,4.2179909846,3.9781455654,3.9283709988,4.1017134238,2.3085437753,0.9270561061
112,Shrubs,8.5186094118,4.2179909846,4.0560438963,3.8429855951,4.4098663702,2.5028813868,0.977441167
113,Shrubs,8.3531364706,4.1360809621,3.8638373644,3.5908741752,4.1714090838,2.1680313292,0.662384713
114,Shrubs,8.2428211765,4.1238119839,3.6997030204,3.4690502572,3.7195741045,1.8474167569,0.3485834725
115,Shrubs,8.6289247059,4.1360809621,3.8936625377,3.6994556811,3.7195741045,2.1542215569,0.8179642429
116,Shrubs,8.6840823529,4.3543168279,4.1957041436,4.079961224,3.9951804951,2.1260163686,0.9008784529
117,Shrubs,9.0150282353,4.2936967418,4.0807174935,4.0257717706,4.1160465764,2.5318931341,1.2358134102
118,Shrubs,9.0701858824,4.1238119839,3.8638373644,3.6191447109,4.1441109071,2.3436705822,0.8739970667
119,Shrubs,8.5186094118,4.0988129953,3.8330952315,3.6466379477,3.8759300076,2.0821584358,0.5926766502
120,Shrubs,8.3531364706,4.1113906062,3.7347559472,3.5318162035,3.8201218319,1.7481558317,0.3014109284
121,Shrubs,8.2979788235,4.2402122935,3.9507700016,3.8650251165,4.0111121323,2.0044961149,0.662384713
122,Shrubs,8.4634517647,4.0334365669,3.6256806887,3.2923799172,3.5341570423,1.4873367435,0.0249795154
123,Shrubs,8.2428211765,3.9778724317,3.586507931,3.1691466317,3.5593032546,1.6609805875,0.0249795154
124,Shrubs,8.6289247059,4.334515652,4.1283101641,3.9684767266,3.8201218319,1.9882127276,0.7586043972
125,Shrubs,8.9598705882,4.2832262535,4.1283101641,4.0973908978,3.9789909261,2.6053788768,1.3264506843
126,Shrubs,8.4634517647,4.1113906062,3.8638373644,3.6466379477,3.6981918413,2.2343566351,0.9525659348
127,Shrubs,9.0701858824,4.1601763644,3.8638373644,3.673395488,3.8390727339,2.3203903405,1.0254088846
128,Shrubs,8.9047129412,4.148201235,3.8638373644,3.7973935215,3.7811073484,2.5223157682,1.1568811968
129,Shrubs,8.5737670588,4.1837048124,3.9226238721,3.8429855951,3.911476974,2.3886656447,1.0711806342
130,Shrubs,9.1805011765,4.1952646455,4.0047916338,3.9076983736,3.8576711685,2.6983404688,1.4409496448
131,Shrubs,8.5737670588,4.1360809621,3.9781455654,3.8204493655,3.7405087215,2.4211312361,1.2166567281
132,Shrubs,9.2356588235,4.2402122935,4.0807174935,4.1642217485,4.0574385015,2.7143518724,1.5575252312
133,Shrubs,9.5114470588,4.2291633611,4.0807174935,4.079961224,3.8008048443,2.7456255191,1.7102941815
134,Shrubs,8.1325058824,4.0731729984,3.6997030204,3.4361253345,3.7195741045,2.0518133746,0.5559114564
135,Shrubs,9.0701858824,4.1113906062,3.801377963,3.7248539538,3.42672752,2.4211312361,1.4713921436
136,Shrubs,7.8567176471,4.1238119839,3.6997030204,3.4690502572,3.8390727339,2.1260163686,0.6954973579
137,Shrubs,8.2979788235,4.1113906062,3.8638373644,3.6191447109,3.8938614309,2.3203903405,0.9270561061
138,Shrubs,9.0150282353,4.2402122935,4.0307460784,4.0441631366,3.8938614309,2.760903063,1.7336317276
139,Shrubs,8.5186094118,4.1601763644,3.8330952315,3.6191447109,3.8390727339,2.3664211616,1.001712611
140,Shrubs,8.6289247059,4.2832262535,4.0807174935,3.9486249079,3.8201218319,2.6141962154,1.3264506843
141,Shrubs,7.6912447059,4.0860751707,3.7347559472,3.4690502572,3.6981918413,2.0044961149,0.4780593301
142,Shrubs,7.7464023529,4.1113906062,3.7686216642,3.4361253345,3.607774663,1.9202906364,0.436735751
143,Shrubs,7.8567176471,4.0731729984,3.6997030204,3.3668332484,3.8008048443,1.8845173751,0.3485834725
144,Shrubs,8.0773482353,4.1238119839,3.8330952315,3.6466379477,3.8938614309,2.2343566351,0.7887247043
145,Shrubs,7.6912447059,4.0468582535,3.6633766114,3.2923799172,3.8759300076,1.808886471,0.1998147143
146,Shrubs,7.9118752941,4.0860751707,3.6633766114,3.3302993351,3.8938614309,1.8474167569,0.3936306505
147,Shrubs,7.9670329412,4.1952646455,3.8638373644,3.673395488,3.8576711685,2.20835198,0.8463730632
148,Shrubs,9.4011317647,4.2291633611,4.0807174935,4.0257717706,4.072415676,2.6655274147,1.4862727721
149,Shrubs,8.2428211765,4.1601763644,3.8936625377,3.6994556811,4.0871718408,2.4422038026,0.9270561061
150,Shrubs,7.9118752941,4.0731729984,3.7686216642,3.4690502572,4.0574385015,2.1260163686,0.5559114564
151,Shrubs,7.6912447059,4.0601021817,3.6997030204,3.3302993351,3.7195741045,1.902563963,0.436735751
152,Shrubs,8.0221905882,4.0860751707,3.7686216642,3.4690502572,3.8008048443,2.0969925009,0.5926766502
153,Shrubs,7.7464023529,4.0468582535,3.6256806887,3.252965751,3.6763423687,1.727064073,0.2519024906
154,Shrubs,8.2428211765,4.1238119839,3.8936625377,3.7248539538,3.8938614309,2.377605254,0.9525659348
0,Urban,8.7943976471,4.4298191024,4.2171959232,4.1479280752,3.9789909261,2.431723025,1.1971258882
1,Urban,8.2428211765,4.4655348238,4.2988219069,4.1960336405,4.1160465764,2.431723025,1.1568811968
2,Urban,8.6289247059,4.4298191024,4.279031511,4.1802541887,3.9789909261,2.3996050403,1.1971258882
3,Urban,8.7943976471,4.4388683317,4.2588415341,4.1313645146,4.1301771893,2.2844211224,1.001712611
4,Urban,8.8495552941,4.5891412294,4.4444507898,4.3812866551,4.1979818292,2.5318931341,1.3089685476
5,Urban,8.9598705882,4.4655348238,4.3182282317,4.1960336405,4.0871718408,2.2965551849,1.0711806342
6,Urban,8.9598705882,4.3040587339,4.0807174935,3.9486249079,4.0574385015,2.3886656447,1.0711806342
7,Urban,8.7943976471,4.5968628341,4.4273654717,4.3681931565,3.9951804951,2.1816529866,1.0254088846
8,Urban,8.7943976471,4.5496127045,4.4273654717,4.3000235508,4.0871718408,2.3203903405,1.1568811968
9,Urban,9.1805011765,4.3737335181,4.1957041436,4.0973908978,4.0111121323,2.3085437753,1.114948708
10,Urban,8.4082941176,4.4478364063,4.3372651093,4.2567734877,4.0422335962,2.3664211616,1.2358134102
11,Urban,8.5737670588,4.4021694578,4.2171959232,4.2115679642,4.0267939275,2.431723025,1.2358134102
12,Urban,8.6840823529,4.4021694578,4.2171959232,4.0973908978,4.1017134238,2.3203903405,1.114948708
13,Urban,8.2979788235,4.6271664839,4.5412518124,4.5263370406,4.223866703,2.6053788768,1.3264506843
14,Urban,8.6289247059,4.4298191024,4.279031511,4.1802541887,4.1847837178,2.272138014,1.0254088846
15,Urban,8.4634517647,4.3833022913,4.1957041436,4.0622223596,4.0871718408,2.3085437753,1.0485566182
16,Urban,8.5186094118,4.4655348238,4.2988219069,4.1960336405,3.9287875738,2.1950915852,0.9525659348
18,Urban,8.0221905882,4.1720097853,3.8638373644,3.673395488,3.8201218319,2.2965551849,0.9008784529
19,Urban,8.6289247059,4.5576443986,4.3922933589,4.3278514827,4.0267939275,2.1542215569,1.001712611
20,Urban,8.0773482353,4.1601763644,3.9226238721,3.7973935215,4.1441109071,2.2844211224,0.8179642429
21,Urban,8.1876635294,4.3040587339,4.1283101641,4.0070358148,4.3327097141,2.431723025,1.1568811968
22,Urban,8.3531364706,4.4021694578,4.1957041436,4.0441631366,4.0267939275,2.2597021527,0.9008784529
23,Urban,8.2428211765,4.2291633611,4.0307460784,3.8204493655,4.3211848018,2.4930207005,0.977441167
24,Urban,8.0773482353,4.2402122935,4.0560438963,3.8650251165,4.3095255156,2.5223157682,1.0933041075
25,Urban,7.9670329412,4.3040587339,4.0560438963,3.9076983736,3.9789909261,2.0821584358,0.662384713
26,Urban,8.0221905882,4.1952646455,4.0047916338,3.7248539538,4.3211848018,2.2214388355,0.7275486073
27,Urban,8.3531364706,4.148201235,3.9226238721,3.673395488,4.4204183844,2.1680313292,0.7275486073
28,Urban,8.1876635294,4.2291633611,4.0307460784,3.8650251165,4.3441033148,2.4628414648,0.977441167
29,Urban,8.2979788235,4.2832262535,4.1512831988,3.9486249079,4.3775253426,2.3886656447,1.0485566182
30,Urban,8.6289247059,4.1720097853,3.8936625377,3.6466379477,4.2737091371,2.2965551849,0.6281379604
31,Urban,8.6289247059,4.7197543853,4.6295038628,4.5150214863,4.1847837178,2.377605254,1.2358134102
32,Urban,8.0773482353,4.6271664839,4.5100145041,4.4320107637,4.2490984214,2.4422038026,1.2358134102
33,Urban,8.2428211765,4.2402122935,4.0560438963,3.9486249079,4.1578531414,2.5507770042,1.2911753395
34,Urban,7.9670329412,4.0988129953,3.8638373644,3.6466379477,4.3553685624,2.3436705822,0.8463730632
35,Urban,8.1876635294,4.3737335181,4.2382355076,4.1479280752,4.1017134238,2.4930207005,1.2911753395
41,Urban,8.0221905882,4.2726449731,4.0807174935,4.1145219751,4.0111121323,2.6053788768,1.4562867329
42,Urban,7.9118752941,4.1360809621,3.8936625377,3.5908741752,4.3095255156,2.20835198,0.662384713
43,Urban,7.9118752941,4.2291633611,4.0307460784,3.8865893536,4.1160465764,2.1260163686,0.8179642429
44,Urban,7.9670329412,4.1952646455,3.9507700016,3.8429855951,4.1301771893,2.3664211616,1.001712611
45,Urban,8.0221905882,4.2291633611,4.0307460784,3.8650251165,4.1578531414,2.4211312361,1.0254088846
46,Urban,7.8567176471,4.148201235,3.8936625377,3.6994556811,3.9287875738,2.1680313292,0.7887247043
47,Urban,7.7464023529,4.0601021817,3.6633766114,3.4361253345,3.6981918413,1.7890499194,0.436735751
48,Urban,8.1876635294,4.1113906062,3.8638373644,3.6191447109,3.9951804951,2.2597021527,0.8179642429
49,Urban,7.9118752941,4.1360809621,3.801377963,3.5318162035,4.0574385015,2.140218401,0.5926766502
50,Urban,8.0773482353,4.2619505308,4.1512831988,4.0973908978,4.3211848018,2.5126457887,1.2358134102
51,Urban,7.9118752941,4.1360809621,3.8936625377,3.6994556811,4.1441109071,2.2965551849,0.9008784529
52,Urban,7.9670329412,4.1113906062,3.7686216642,3.5318162035,3.7195741045,2.1542215569,0.7887247043
53,Urban,8.0221905882,4.2511404798,4.0807174935,4.079961224,4.2365621401,2.4525758719,1.0933041075
