"","Year","BLVU","TUVU","OSPR","BAEAU","BAEAI","BAEAA","NOHA","SSHA","COHA","NOGO","RSHA","BWHA","RTHA","RLHA","SWHA","GOEAU","GOEAI","GOEAA","AMKE","MERL","PEFA","GYRF","TOTRAP"
"1",1934,0,0.321075837742504,0.0777777777777778,0.00524691358024691,0.0428042328042328,0.0182098765432099,0.291402116402116,5.03973544973545,0.725361552028219,0.311878306878307,0.193350970017637,0.0203703703703704,15.0512257495591,0.054320987654321,0,0.0132716049382716,0.0475308641975309,0.0481481481481481,0.045679012345679,0.0222222222222222,0.058641975308642,0.00493827160493827,22.4119576719577
"2",1935,0,0.628750815394651,0.263399652098282,0.0091324200913242,0.0235920852359209,0.0709665144596651,0.226000217438574,6.94300391389432,0.886632963687758,0.445531637312459,0.351837355946945,6.34920634920635,5.44248206131768,0.0102739726027397,0,0,0.0344640139160687,0.0839584692324418,0.197428788867145,0.0302511415525114,0.0225048923679061,0,24.6090834964123
"3",1936,0,0.129203216374269,0.329495614035088,0,0.0641969507101086,0.0444078947368421,0.244569757727652,7.06837406015038,0.760390559732665,0.300386382623225,0.338006474519632,10.2366593567251,5.66914682539683,0.0150898078529657,0,0,0.0278299916457811,0.066389933166249,0.158625730994152,0.0661549707602339,0.0637792397660819,0.00146198830409357,25.6060985797828
"4",1937,0,0.0565686274509804,0.323646125116713,0,0.021797385620915,0.021078431372549,0.20828197945845,6.63544351073763,0.651176470588235,0.0702894491129785,0.217745098039216,8.15023342670401,6.75212418300654,0.00571895424836601,0,0.00130718954248366,0.0318627450980392,0.0648366013071895,0.198249299719888,0.0130718954248366,0.0549112978524743,0,23.4888001867414
"5",1938,0,0.103864734299517,0.251167471819646,0,0.0247584541062802,0.0360305958132045,0.426299746951921,5.13707154359328,0.363641591902461,0.0150966183574879,0.251207729468599,18.1604669887279,4.27372325741891,0,0,0.00161030595813205,0.0177133655394525,0.0316022544283414,0.14621578099839,0.0324074074074074,0.0517310789049919,0,29.3246089256959
"6",1939,0,0.217037037037037,0.299259259259259,0.00148148148148148,0.0422222222222222,0.0525925925925926,0.436111111111111,13.565,1.02259259259259,0.0418518518518519,0.466111111111111,9.04296296296296,9.57962962962963,0.0125925925925926,0,0.00592592592592593,0.0446296296296296,0.0809259259259259,0.287407407407407,0.0877777777777778,0.0705555555555556,0,35.3566666666667
"7",1940,0,0.216880341880342,0.130214692714693,0,0.0119810744810745,0.0466676841676842,0.239565527065527,3.51926638176638,0.24535002035002,0.0158475783475783,0.218340455840456,4.57949226699227,7.18154761904762,0.00605413105413105,0,0,0.025,0.0902421652421652,0.0863603988603989,0.016025641025641,0.036502849002849,0.00142450142450142,16.6769129019129
"8",1941,0,0.244812583668005,0.27694109772423,0.00267737617135208,0.0163989290495315,0.0485609103078983,0.352409638554217,5.30197456492637,0.580789825970549,0.0306894243641232,0.268674698795181,6.92941767068273,6.57861445783133,0.00267737617135208,0,0.00602409638554217,0.018908969210174,0.0581325301204819,0.26619812583668,0.0513052208835341,0.06285140562249,0,21.1476572958501
"9",1942,0,0.12743993993994,0.321771771771772,0.0045045045045045,0.0496996996996997,0.0500750750750751,0.175611325611326,4.9018876018876,0.454874517374517,0.0146396396396396,0.19248712998713,6.71666666666667,3.96159373659374,0,0,0,0.0210585585585586,0.0350975975975976,0.170157657657658,0.0257132132132132,0.0548584298584299,0,17.7873337623338
"10",1946,0,0.0966880341880342,0.28454415954416,0,0.0132122507122507,0.0816951566951567,0.276938339438339,3.51535409035409,0.315883190883191,0.0552706552706553,0.35954415954416,4.28509361009361,3.8740638990639,0,0,0,0.0205128205128205,0.0879273504273504,0.161375661375661,0.0293803418803419,0.0497507122507123,0,13.5873626373626
"11",1947,0,0.378048780487805,0.416748935346496,0.0013550135501355,0.0370741385985288,0.116952187379017,0.293142663569493,2.50929636082075,0.207041231126597,0.00788811459543167,0.393510452961672,9.37964092140921,2.80093883081688,0,0,0.0013550135501355,0.0141744096012389,0.0382742934572203,0.183531746031746,0.013550135501355,0.0285714285714286,0,16.9055410375532
"12",1948,0,0.451807228915663,0.270032510996366,0.00267737617135208,0.0234270414993307,0.0852935551730732,0.322011856951616,2.37913080895009,0.286111111111111,0.034471218206158,0.427878179384203,20.2717536813922,4.53992159112641,0.0179718875502008,0,0.00150602409638554,0.00803212851405623,0.0711512717536814,0.206444826926755,0.0254350736278447,0.0507506215337541,0,29.6111828265443
"13",1949,0,0.497474747474747,0.340940656565657,0,0.0434659090909091,0.111458333333333,0.308549783549784,4.16346500721501,0.248642676767677,0.0183712121212121,0.426627886002886,12.3461174242424,3.8625496031746,0.0236742424242424,0,0,0.0327155483405483,0.061300505050505,0.463352272727273,0.0303030303030303,0.0559163059163059,0,23.12141504329
"14",1950,0,0.123306233062331,0.504573170731707,0,0.0304878048780488,0.14800135501355,0.333333333333333,5.07879403794038,0.384789972899729,0.00836720867208672,0.495189701897019,7.32232384823848,4.08773712737127,0.00257452574525745,0,0,0.0251016260162602,0.0684281842818428,0.326219512195122,0.059789972899729,0.0453929539295393,0,19.2149390243902
"15",1951,0,0.076951951951952,0.400713213213213,0,0.0319069069069069,0.137575075075075,0.361261261261261,4.90536786786787,0.375938438438438,0.0397522522522523,0.654992492492492,16.7310435435435,4.27353603603604,0,0,0,0.0140765765765766,0.0980480480480481,0.389827327327327,0.0225225225225225,0.039039039039039,0,28.6537162162162
"16",1952,0,0.0448848238482385,0.482554200542005,0,0.0242208672086721,0.113143631436314,0.489532520325203,5.24962737127371,0.455352303523035,0.0103319783197832,0.598712737127371,17.1172086720867,5.02018970189702,0.0167682926829268,0,0,0.0296409214092141,0.112127371273713,0.299932249322493,0.0661924119241192,0.0508807588075881,0,30.2969173441734
"17",1953,0,0.286204744069913,0.416069199215267,0,0.0245006242197253,0.088808632067059,0.349794899233101,3.60065097199929,0.199741394685215,0.00421348314606742,0.25252808988764,9.04478330658106,3.20586766541823,0.00280898876404494,0,0,0.0142009987515605,0.0362359550561798,0.294925985375424,0.0142455858747994,0.0279650436953808,0,18.0212056358124
"18",1954,0,0.00148809523809524,0.442677626606198,0.00476190476190476,0.0169123204837491,0.119520030234316,0.238392857142857,4.27591647770219,0.27146164021164,0.156183862433862,0.429298941798942,8.24803004535147,3.10854119425548,0.0042989417989418,0,0,0.0197231670445956,0.0367063492063492,0.252130574452003,0.0291005291005291,0.0382275132275132,0,17.8157596371882
"19",1955,0,0.104725415070243,0.520051085568327,0.0041507024265645,0.0345466155810983,0.134701696770662,0.316776135741653,6.62771392081737,0.387260536398467,0.063925378580551,0.578379857690203,12.4303959131545,5.76372012406495,0,0,0.0014367816091954,0.0130906768837803,0.0737319832147418,0.417177522349936,0.0303320561941252,0.0531609195402299,0,27.7670270023718
"20",1956,0,0.00333333333333333,0.458687830687831,0.00148148148148148,0.0243703703703704,0.0724391534391534,0.222031746031746,3.14075661375661,0.18962962962963,0.0131481481481481,0.436481481481481,14.5185396825397,2.55245502645503,0.0162962962962963,0,0,0.0318518518518519,0.047010582010582,0.32010582010582,0.0177777777777778,0.0248677248677249,0,22.1618201058201
"21",1957,0,0.287855297157623,0.52442405785429,0,0.00419896640826873,0.0745893318567737,0.315527786167321,3.73461693345414,0.299183277962348,0.14796973052787,0.31766334440753,13.2510528876808,4.13975175341454,0.0122739018087855,0,0,0.021686969361388,0.0482373569582872,0.260631648713044,0.0290697674418605,0.022609819121447,0,23.6358611027216
"22",1958,0,0.0252677376171352,0.496318607764391,0,0.00937081659973226,0.052710843373494,0.315763052208835,2.4530263912794,0.250597628609677,0.0301443870720979,0.66802925989673,11.921686746988,4.61899024670109,0.00172117039586919,0,0.00133868808567604,0.0115461847389558,0.0453958691910499,0.299531459170013,0.0254350736278447,0.0416666666666667,0,21.4216532797858
"23",1959,0,0.0369791666666667,0.452723214285714,0,0.0217013888888889,0.0561805555555556,0.396215277777778,4.11741071428571,0.253993055555556,0.0418402777777778,0.534627976190476,7.39985615079365,2.96108134920635,0.0246527777777778,0,0.00208333333333333,0.0107638888888889,0.0399305555555556,0.407380952380952,0.0237103174603175,0.0484722222222222,0,16.9435168650794
"24",1960,0,0.00735294117647059,0.370915032679739,0,0.00294117647058824,0.0369281045751634,0.339869281045752,3.04411764705882,0.17140522875817,0.0286601307189542,0.450555555555556,14.8428104575163,3.57875816993464,0.0398692810457516,0,0.00130718954248366,0.0179738562091503,0.0282352941176471,0.352287581699346,0.0343137254901961,0.0284313725490196,0,23.4468954248366
"25",1961,0,0.194613821138211,0.402913279132791,0,0.0149051490514905,0.0410569105691057,0.373915989159892,2.36832655826558,0.14400406504065,0.125169376693767,0.442073170731707,11.639972899729,3.70792682926829,0.0486111111111111,0,0.00508130081300813,0.0167682926829268,0.0487804878048781,0.639058265582656,0.0203252032520325,0.0274390243902439,0,20.4242208672087
"26",1962,0,0,0.45868660472319,0,0.0174457994579946,0.0458865660085172,0.276906697638405,3.02833914053426,0.111735385210995,0.0617982965543941,0.382888114595432,11.418568524971,4.27609368950832,0.0130420054200542,0,0,0.0199864498644986,0.0384969028261711,0.667503871467286,0.0281165311653117,0.0439363143631436,0,21.0251258226868
"27",1963,0,0.241319444444444,0.246811868686869,0,0.0138888888888889,0.0172032828282828,0.231155303030303,2.00770202020202,0.095959595959596,0.0395472582972583,0.271058802308802,12.589898989899,4.78021284271284,0.00820707070707071,0,0,0.00789141414141414,0.0277777777777778,0.329419191919192,0.0328914141414141,0.0300505050505051,0,21.0988997113997
"28",1964,0,0.0402298850574713,0.425725647277371,0,0.007590270521305,0.0262103796586555,0.241904678973645,1.73797747590851,0.0811302681992337,0.0255427841634738,0.308269476372925,13.1053349587832,3.82088122605364,0.0204342273307791,0,0,0.00814176245210728,0.0279374201787995,0.297082897944967,0.0127713920817369,0.0247445721583653,0,20.250159642401
"29",1965,0,0.113453815261044,0.617670682730924,0.00133868808567604,0.0113788487282463,0.0398259705488621,0.245883534136546,4.12861445783133,0.135542168674699,0.157530120481928,0.430689424364123,12.5204149933066,4.89243641231593,0.00686077643908969,0,0.00150602409638554,0.0150602409638554,0.0314591700133869,0.522523427041499,0.0271084337349398,0.0173025435073628,0,24.07640562249
"30",1966,0,0,0.779310344827586,0,0.0103448275862069,0.0344827586206897,0.277586206896552,4.97068965517241,0.141379310344828,0.0379310344827586,0.339655172413793,17.4362068965517,3.68448275862069,0.00517241379310345,0,0.00172413793103448,0.00689655172413793,0.0120689655172414,1.03103448275862,0.0362068965517241,0.0379310344827586,0,29.3051724137931
"31",1967,0,0.00549450549450549,0.695970695970696,0,0.010989010989011,0.043956043956044,0.269230769230769,4.26739926739927,0.139194139194139,0.043956043956044,0.256410256410256,14.6520146520147,3.37728937728938,0.00915750915750916,0,0.00366300366300366,0.0201465201465201,0.0311355311355311,1.01465201465201,0.0293040293040293,0.0293040293040293,0,25.0677655677656
"32",1968,0,0.00195694716242661,0.409001956947162,0,0.0195694716242661,0.060665362035225,0.469667318982387,4.40900195694716,0.283757338551859,0.356164383561644,0.534246575342466,27.4774951076321,7.3679060665362,0.00978473581213307,0,0.00195694716242661,0.0195694716242661,0.0313111545988258,1.15851272015656,0.025440313111546,0.0234833659491194,0,42.825831702544
"33",1969,0,0,0.448275862068966,0,0.0013262599469496,0.0374005305039788,0.289124668435013,3.54111405835544,0.147214854111406,0.164576802507837,0.246684350132626,11.0941644562334,4.46190016879672,0.0172413793103448,0.0013262599469496,0.0026525198938992,0.00530503978779841,0.0212201591511936,0.63262599469496,0.0358090185676393,0.0225464190981432,0,21.3415963346998
"34",1970,0,0,0.782022471910112,0,0.0112359550561798,0.0449438202247191,0.559550561797753,4.28314606741573,0.235955056179775,0.168539325842697,0.292134831460674,20.5505617977528,5.62247191011236,0.0224719101123595,0,0.00224719101123596,0.0202247191011236,0.0112359550561798,0.90561797752809,0.0337078651685393,0.0382022471910112,0,33.8876404494382
"35",1971,0,0,0.835443037974684,0,0.00632911392405063,0.0379746835443038,0.430379746835443,6.75632911392405,0.218354430379747,0.104430379746835,0.275316455696203,17.6645569620253,5.63607594936709,0.0221518987341772,0,0,0.0379746835443038,0.0348101265822785,1.15506329113924,0.0379746835443038,0.0284810126582278,0,33.5759493670886
"36",1972,0,0,0.649164677804296,0.00238663484486874,0.00477326968973747,0.0214797136038186,0.367541766109785,5.32458233890215,0.272076372315036,0.828162291169451,0.293556085918854,19.4057279236277,8.26491646778043,0.0143198090692124,0,0,0.045346062052506,0.0310262529832936,0.887828162291169,0.0167064439140811,0.0143198090692124,0,36.799522673031
"37",1973,0,0,0.681102362204724,0.00196850393700787,0.0137795275590551,0.0177165354330709,0.352362204724409,6.58858267716535,0.159448818897638,0.604330708661417,0.228346456692913,12.6811023622047,6.09842519685039,0.015748031496063,0,0.00393700787401575,0.0413385826771654,0.0452755905511811,0.938976377952756,0.0255905511811024,0.0177165354330709,0,28.8425196850394
"38",1974,0,0,0.344632768361582,0,0.00564971751412429,0.0188323917137476,0.306967984934087,8.44256120527307,0.282485875706215,0.114877589453861,0.342749529190207,17.2241054613936,6.88888888888889,0.032015065913371,0,0.00188323917137476,0.0282485875706215,0.0207156308851224,0.817325800376648,0.0188323917137476,0.0131826741996234,0,35.0338983050847
"39",1975,0,0,0.4,0,0.00816326530612245,0.0306122448979592,0.544897959183673,10.9265306122449,0.257142857142857,0.277551020408163,0.418367346938776,21.2040816326531,5.87755102040816,0.0183673469387755,0,0.00204081632653061,0.0183673469387755,0.0346938775510204,0.993877551020408,0.0387755102040816,0.0122448979591837,0.00204081632653061,41.3918367346939
"40",1976,0,0,0.563734290843806,0.00179533213644524,0.00718132854578097,0.0233393177737881,0.44524236983842,9.65170556552962,0.195691202872531,0.111310592459605,0.299820466786355,15.1903052064632,6.63195691202873,0.0233393177737881,0,0.00179533213644524,0.0394973070017953,0.0305206463195691,0.741472172351885,0.0359066427289048,0.0143626570915619,0,34.3357271095153
"41",1977,0,0,0.623853211009174,0,0.0128440366972477,0.0220183486238532,0.536391437308869,19.794495412844,0.423853211009174,0.155963302752294,0.488073394495413,23.851376146789,6.55902140672783,0.0330275229357798,0.0018348623853211,0.0055045871559633,0.0330275229357798,0.0165137614678899,1.28990825688073,0.0495412844036697,0.0201834862385321,0,54.3412844036697
"42",1978,0,0,0.578901633646159,0,0.00875912408759124,0.0306569343065693,0.283211678832117,10.2219395203337,0.233576642335766,0.0846715328467153,0.240875912408759,43.1021897810219,4.2713312478276,0.0109489051094891,0,0.00291970802919708,0.0291970802919708,0.00875912408759124,0.547931873479319,0.0233576642335766,0.0175182481751825,0,59.8551407716371
"43",1979,0.00127388535031847,0,0.582165605095541,0,0.0101910828025478,0.0101910828025478,0.303312101910828,13.2844100697604,0.429299363057325,0.0870488322717622,0.299617834394904,14.2522292993631,5.46658174097665,0.0178343949044586,0.00127388535031847,0.0106157112526539,0.0193630573248408,0.0142675159235669,0.719745222929936,0.0679405520169851,0.0178343949044586,0,35.7875523202912
"44",1980,0,0,0.413600891861761,0,0.0123644471470558,0.0111482720178372,0.545165025476756,9.3307664261725,0.418803418803419,0.0930880713489409,0.390983869244739,11.3015607580825,6.49316813229857,0.0256410256410256,0,0.00222965440356745,0.0390189520624303,0.0289855072463768,0.596432552954292,0.0330732069862505,0.0100334448160535,0,29.8731539575674
"45",1981,0,0,0.653570019723866,0.00118343195266272,0.0153846153846154,0.0168047337278107,0.343510848126233,11.4839447731755,0.901775147928994,0.169467455621302,0.297751479289941,10.2482840236686,4.79760940813572,0.0224852071005917,0.00118343195266272,0.00473372781065089,0.0262721893491124,0.031163708086785,0.912820512820513,0.0594082840236686,0.0236686390532544,0,30.2339013213507
"46",1982,0,0,0.517836979534227,0,0.0229357798165138,0.0126146788990826,0.341016366295584,5.27097436701047,0.351299694189602,0.164373088685015,0.36697247706422,8.22247706422018,5.92723102585488,0.0197247706422018,0.00229357798165138,0.00114678899082569,0.0275229357798165,0.0321100917431193,0.46507754477938,0.0217889908256881,0.00802752293577982,0,21.9394145709363
"47",1983,0,0.00436681222707424,0.516229985443959,0,0.00982532751091703,0.0149719276356831,0.355713245997089,7.20196506550218,0.383187772925764,0.144520690372219,0.49235807860262,7.5438864628821,4.37253067165731,0.0152838427947598,0,0.00436681222707424,0.039665211062591,0.0174672489082969,0.469796215429403,0.0240174672489083,0.0109170305676856,0,21.8896288209607
"48",1984,0,0.00102986611740474,0.637850477706296,0.00102986611740474,0.0223480947476828,0.01956745623069,0.334824187141386,3.98461141761024,0.175812858614094,0.0607621009268795,0.215805992839978,14.0446524982055,3.32361361668561,0.0082389289392379,0.00102986611740474,0,0.0247167868177137,0.0154479917610711,0.340292731641856,0.0216271884654995,0.00926879505664264,0,23.4371754179321
"49",1985,0.00486026731470231,0,0.527409349619492,0.00121506682867558,0.0218712029161604,0.0255164034021871,0.461806399351964,7.09133252328878,0.356419603078169,0.0607533414337789,0.246658566221142,4.13985419198056,3.57059742487517,0.0145808019441069,0.00121506682867558,0.00121506682867558,0.0449574726609964,0.0243013365735115,0.467233697853382,0.0437424058323208,0.0145808019441069,0,17.417465201851
"50",1986,0.0335714285714286,0.0285714285714286,1.024410430839,0,0.0333333333333333,0.028968253968254,0.386655328798186,11.1258503401361,0.677857142857143,0.126190476190476,0.210714285714286,16.6285714285714,3.99666666666667,0.0123015873015873,0,0.00357142857142857,0.0404761904761905,0.00833333333333333,0.533452380952381,0.100918367346939,0.0345238095238095,0,35.2780328798186
"51",1987,0.0321543408360129,0.07502679528403,0.730163834022355,0.00214362272240086,0.0487674169346195,0.0260807431225438,0.392952028321803,7.37617984482237,0.662379421221865,0.0610932475884244,0.37675793302803,9.01362731587812,4.5763181914756,0.024345429490124,0.00214362272240086,0.00214362272240086,0.0774822176751437,0.0257234726688103,0.630282036545143,0.0597152044097382,0.0342979635584137,0,24.356252045672
"52",1988,0.0160965794768612,0.0593561368209256,0.647417840375587,0.00301810865191147,0.0366197183098592,0.0223340040241449,0.30962441314554,6.94008775029246,0.467002012072435,0.051307847082495,0.367203219315895,6.16767270288397,4.80693424616966,0.0142857142857143,0.00100603621730382,0.00603621730382294,0.0492957746478873,0.0160965794768612,0.646977100699435,0.048582403511981,0.0150905432595573,0.00100603621730382,20.8332253638526
"53",1989,0.055963623644631,0.224554039874082,0.841972255499235,0,0.0358912359140472,0.0308499475341028,0.430420226852546,10.5264153831924,0.824763903462749,0.0283315844700944,0.274306700644581,7.98635756323607,3.95429927069144,0.0131164742917104,0,0.00335781741867786,0.0283315844700944,0.0160895417978314,0.895257647746356,0.175751187260196,0.0535152151101784,0,26.5417277844332
"54",1990,0.0281973816717019,0.150050352467271,0.913200092958401,0.00453172205438067,0.0480637187585828,0.0261832829808661,0.335830366343962,8.29230524508691,0.64741911328014,0.0901644847264183,0.331458739313724,4.68512923799933,3.88826476012392,0.0223093373277553,0.00100704934541793,0.0040281973816717,0.0435960816625469,0.0304128902316213,0.75625656652847,0.159986572675394,0.0503524672708963,0,20.7544677004714
"55",1991,0.0393313667649951,0.199934447722058,0.631242891962947,0,0.0330481111878212,0.0367092756473287,0.196352909627246,5.62806124936163,0.568755400613808,0.0530973451327434,0.162569649295313,5.77479216948243,2.94534557543407,0.00884955752212389,0,0.00196656833824975,0.0381842019010161,0.0186823992133727,0.623271882827522,0.0892919656617642,0.0434611602753196,0,17.2280752100015
"56",1992,0.0241935483870968,0.101814516129032,0.564868861767581,0.00100806451612903,0.0846774193548387,0.0352822580645161,0.165468309757921,4.74913460985567,0.671218230694037,0.0416666666666667,0.244959677419355,10.7813739865448,3.34548334729786,0.00554435483870968,0,0.00705645161290323,0.0327620967741935,0.0214795285359802,0.560766434506354,0.0749327956989247,0.0438152277039848,0,21.7240203157453
"57",1993,0.0466926070038911,0.0875486381322957,0.73608339964649,0.00389105058365759,0.0340466926070039,0.0422456920511395,0.358669576780128,5.33300623577386,0.547305526557211,0.10676490634733,0.241731517509728,3.48249027237354,3.67459474420519,0.00583657587548638,0.000972762645914397,0.00658045319295033,0.0389105058365759,0.0238326848249027,0.616731517509728,0.0783398184176394,0.0496108949416342,0,15.6840906309041
"58",1994,0.0510018214936248,0.182452944748027,0.440814862126338,0.000910746812386157,0.0331641946396045,0.039344262295082,0.285433072663444,4.52399601006158,0.523306838880609,0.029143897996357,0.237097753491196,3.21746150024839,4.01967213114754,0.00728597449908925,0,0.00364298724954463,0.0446265938069217,0.0400728597449909,0.638713130732113,0.0496660595021251,0.0218579234972678,0,14.6164415219204
"59",1995,0.0428432327166504,0.172346640701071,0.484879677284741,0,0.0765985069782538,0.0522557611165206,0.273700982561742,6.09340237821251,0.626614735475495,0.110418695228822,0.390847127555988,9.82911392405063,4.74206426484908,0.0068159688412853,0,0.00486854917234664,0.059396299902629,0.0284323271665044,0.660617863149509,0.168108684564381,0.0311587147030185,0,24.0735690469868
"60",1996,0.0452865064695009,0.215033887861984,0.581288859015292,0.000924214417744917,0.0505237215033888,0.039279112754159,0.119606548719303,4.24093069592145,0.497689463955638,0.0378927911275416,0.287430683918669,1.69439309919901,2.5791523633483,0.00369685767097967,0,0.0147874306839187,0.0512278848692897,0.0308687615526802,0.449151403125525,0.117018748349617,0.0379768106200639,0,11.3307587360268
"61",1997,0.0454132606721163,0.216469875870421,0.650852166479671,0.00635785649409628,0.0535876475930972,0.0536308983175468,0.198858944122608,3.87110528967192,0.652134423251589,0.0793218286406297,0.276195194451325,5.00968816227672,2.17279185620862,0.00454132606721163,0,0.00454132606721163,0.0544959128065395,0.0378443838934302,0.595125643354526,0.142338134163747,0.0554041780199818,0,14.3330273599346
"62",1998,0.0479626485568761,0.186757215619694,0.558832932771812,0.000848896434634975,0.0732520450686834,0.0577249575551783,0.270446644470414,4.98795816520774,0.954139380709839,0.0305602716468591,0.312393887945671,8.43675721561969,3.67647748403266,0.00424448217317487,0,0.00594227504244482,0.0810979060554612,0.0365025466893039,0.677347327262438,0.129436494461961,0.0479626485568761,0,20.6632328622142
"63",1999,0.0722021660649819,0.35641971433056,0.635017676824301,0.00270758122743682,0.084115523465704,0.0707581227436823,0.34328301061153,4.03058580356586,0.853690594864093,0.153786415918059,0.302346570397112,7.85508697079094,4.5053846966008,0.0148916967509025,0,0.0126353790613718,0.0828068592057762,0.0288808664259928,0.683535718192758,0.119713022550097,0.0468802007322631,0,20.5627704751908
"64",2000,0.00801424755120214,0.1506678539626,0.506381715642624,0.00979519145146928,0.0627782724844167,0.0483823092905907,0.124589746851546,4.04272043745728,0.664385362337277,0.0293855743544078,0.173642030276046,5.71905609973286,2.54167024137411,0.00178094390026714,0,0.00356188780053428,0.0507569011576135,0.0350804531052621,0.459677953079087,0.211422468581394,0.042842636421865,0,14.9649538584242
"65",2001,0.0396959459459459,0.29169481981982,0.594704455395245,0.00168918918918919,0.0733952702702703,0.0581483268983269,0.272850975975976,4.20592590197853,0.762246621621622,0.106981981981982,0.232263513513514,3.25422297297297,3.19641291312487,0.00253378378378378,0,0.00168918918918919,0.0467342342342342,0.0349099099099099,0.49656302534592,0.20850663975664,0.0306869369369369,0,14.0410795808179
"66",2002,0.0453686200378072,0.213610586011342,0.687505013560911,0.000945179584120983,0.103075579657941,0.151112120393784,0.169831586183193,3.0343506502636,0.566609383055508,0.0359168241965974,0.226843100189036,11.2041587901701,3.29951953252587,0.00472589792060491,0,0.00791726898698988,0.0433972454766406,0.0694891120221933,0.454348253045549,0.114366729678639,0.0587679306126988,0,20.648845139954
"67",2003,0.0190654205607477,0.306542056074766,0.747939526413798,0.000934579439252336,0.119023939227348,0.138317757009346,0.403111950686021,3.41716510903427,0.636635514018692,0.059190031152648,0.21829808165273,5.70106809078772,3.32703866593366,0.00965732087227414,0,0.00186915887850467,0.0785046728971963,0.0724943602964873,0.407102803738318,0.145981308411215,0.107000849617672,0,16.0318944677307
"68",2004,0.0570918822479929,0.15878679750223,0.665485748268978,0.00267618198037467,0.106393101397562,0.0805063506223185,0.171602735652691,2.67499256616117,0.483050847457627,0.0276538804638715,0.188819506393101,5.85977656004418,2.53678263455248,0.00892060660124889,0.000892060660124889,0.00446030330062444,0.0446030330062444,0.0303300624442462,0.326851025869759,0.0994944989592626,0.0394290811775201,0,13.6961641391615
"69",2005,0.0911458333333333,0.410590277777778,0.439814814814815,0.00260416666666667,0.0886205808080808,0.0763888888888889,0.180320692039442,3.97822420634921,0.979166666666667,0.0451388888888889,0.298611111111111,4.56744791666667,3.95276725589226,0.00434027777777778,0,0.00434027777777778,0.0644886363636364,0.0369212962962963,0.413988095238095,0.17980775012025,0.0478219696969697,0,15.9939153439153
"70",2006,0.0788091068301226,0.409890751396881,0.611255032183228,0.000875656742556918,0.113018096906013,0.0726795096322242,0.245596697523142,4.82287287220704,0.819645036807909,0.0134267367192061,0.229090736971648,10.3395213076474,3.49137644071061,0.000875656742556918,0,0.00700525394045534,0.0973730297723292,0.0436266388980925,0.379726461512801,0.197446549285428,0.0561045784338254,0,22.1878343645237
"71",2007,0.12400354295837,0.572778269855329,0.686005314437555,0.00442869796279894,0.119574844995571,0.0932979037496309,0.279303218187186,4.554325361677,0.672423974018305,0.0380868024800709,0.197519929140833,6.95748449955713,2.14804504618499,0.00354295837023915,0.000885739592559787,0.00738116327133156,0.0513728963684677,0.0828166519043401,0.479243054743163,0.222911130794213,0.0339533510481252,0,17.4734646583536
"72",2008,0.0335689045936396,0.318757361601885,0.476855123674912,0.00353356890459364,0.106301531213192,0.1110550227158,0.134275618374558,3.06634275618375,0.577031802120141,0.0220848056537102,0.121908127208481,3.80683156654888,1.61012956419317,0.00441696113074205,0,0.0123674911660777,0.0710668012788154,0.0424028268551237,0.255889281507656,0.145023557126031,0.0715547703180212,0,11.1375988557967
"73",2009,0.141274238227147,0.431209602954755,0.445539686536916,0.00277008310249307,0.110495537088335,0.0982280262058655,0.137119113573407,4.03820756036823,0.573253308710372,0.023084025854109,0.13419513696522,6.05219705610776,1.62711603570329,0,0,0.00369344413665743,0.0480147737765466,0.0206535697986648,0.441310613055765,0.161588180978763,0.0658104591622597,0,14.6619469712355
"74",2010,0.117595818815331,0.566376306620209,0.591695702671312,0.00435540069686411,0.168350754936121,0.191019955654102,0.164137140443761,5.69589604746249,0.713124274099884,0.0461672473867596,0.14808362369338,5.95360046457607,2.92610072853975,0,0.000871080139372822,0.00261324041811847,0.0954123112659698,0.0290774846523975,0.709639953542393,0.25931464106401,0.0609756097560976,0,18.5924914101278
